party,first_name,last_name,elected_appointed,birth_year_x,gender,race_ethnicity,religion,lgbtq,pre_election_incumbent,period,military_service,is_vet,district,state,birthday,type,senate_class,twitter,twitter_id,govtrack_id,birth_year_y,age,ideology,christian,since_first_elected,ideology_cluster,2014_2018_acs_citizen_adult_population_white,2014_2018_acs_citizen_adult_population_black,2014_2018_acs_citizen_adult_population_latino,2014_2018_acs_citizen_adult_population_asian_and_pacific_islander,2014_2018_acs_citizen_adult_population_native,2014_2018_acs_citizen_adult_population_other,2010_census_adult_population_by_race_white,2010_census_adult_population_by_race_black,2010_census_adult_population_by_race_latino,2010_census_adult_population_by_race_asian_and_pacific_islander,2010_census_adult_population_by_race_native,2010_census_adult_population_by_race_other,2014_2018_acs_educational_attainment_among_adults_25+_and_median_household_income_high_school_or_greater,2014_2018_acs_educational_attainment_among_adults_25+_and_median_household_income_hs_rank,2014_2018_acs_educational_attainment_among_adults_25+_and_median_household_income_bachelor's_degree_or_higher,2014_2018_acs_educational_attainment_among_adults_25+_and_median_household_income_ba_rank_(bachelor's_degree_share),2014_2018_acs_educational_attainment_among_adults_25+_and_median_household_income_white_ba_(bachelor's_degree_or_higher_among_whites_only),2014_2018_acs_educational_attainment_among_adults_25+_and_median_household_income_white_ba_rank_(bachelor's_degree_share),median_income,income_rank,white_income,white_rank,non_college_white_share,is_border,population_white_percentage,avgmaxaddown (cd),avgmaxadup (cd),providercount (cd),percentage_adv_tech (cd),avgmaxaddown (state),avgmaxadup (state),providercount (state),percentage_adv_tech (state),cd_urban_pop_ratio,total_district_population,(cd) perc_estimate_households_income_$20000_less_with_internet,"(cd) perc_estimate_households_income_$75,000_more_with_internet","(cd) perc_estimate_households_income_$75,000_more_without_internet","(cd) perc_estimate_households_income_between_$20000_$74,999_with_internet","(cd) perc_estimate_households_income_between_$20000_$74,999_without_internet",(cd) perc_estimate_households_with_internet,(cd) perc_estimate_households_with_internet_broadband_any,(cd) perc_estimate_households_without_internet,(cd) perc_households_income_$20000_less_without_internet,(state) perc_estimate_households_income_$20000_less_with_internet,"(state) perc_estimate_households_income_$75,000_more_with_internet","(state) perc_estimate_households_income_$75,000_more_without_internet","(state) perc_estimate_households_income_between_$20000_$74,999_with_internet","(state) perc_estimate_households_income_between_$20000_$74,999_without_internet",(state) perc_estimate_households_with_internet,(state) perc_estimate_households_with_internet_broadband_any,(state) perc_estimate_households_without_internet,(state) perc_households_income_$20000_less_without_internet,state_urban_pop_ratio,total_state_population,state_code,current_dollar_gdp_2021,current_dollar_gdp_2022,real_gdp_2021,real_gdp_2022,2022_nominal_gdp_per_capita,2022_real_gdp_per_capita,2021_nominal_gdp_per_capita,2021_real_gdp_per_capita
R,Bradley,Byrne,2016-01-01,1955,M,White,Christian,No,Won,116,no,No,1,AL,1955-02-16,rep,,,,412601,1955.0,68.0,0.7487530312897348,Yes,7,Right Centrist,68.3,26.4,2.1,1.1,1.1,1.1,68.5,25.6,2.5,1.3,1.1,1.0,87.0,290,24.3,311,27.7,305,47952,365,57003,320,49.4,no,68.23176823176826,107.17389632959632,7.334623867617057,5.0,0.2106233017188427,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.6629216097403415,730653.0,10.680372570292343,33.155780681352255,2.112126676802166,36.97945202994205,8.570060123585355,82.14833870950184,80.81560528158666,17.851661290498154,7.169474490110632,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
R,Martha,Roby,2010-01-01,1976,F,White,Christian,No,Won,116,no,No,2,AL,1976-07-27,rep,,,,412394,1976.0,47.0,0.536408202983256,Yes,13,Centrist,65.3,30.5,1.9,0.6,0.4,1.3,66.5,27.8,3.0,1.2,0.5,1.0,84.5,346,22.5,344,25.2,352,46817,373,54917,351,48.8,no,65.3,135.29233744205646,35.54072542825901,5.0,0.2475167259089006,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.5055657952880434,687953.0,11.641070543020083,30.98809818993305,2.1788990825688077,37.90757500619885,8.904661542276221,80.79864554921895,80.536743739152,19.201354450781054,8.117793825936028,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
R,Mike,Rogers,2002-01-01,1958,M,White,Christian,No,Won,116,no,No,3,AL,1958-07-16,rep,,RepMikeRogersAL,33977070.0,400341,1958.0,65.0,0.6182956200094207,Yes,21,Right Centrist,70.7,25.3,1.8,0.8,0.3,1.0,71.5,23.9,2.3,1.1,0.3,0.9,84.6,345,21.7,354,23.2,387,46576,377,52592,383,54.3,no,70.77077077077078,104.04100774760948,9.12891096274734,5.0,0.1962594576213551,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.523417624808662,746063.0,12.109415237290122,32.84872466105217,1.9287259397654983,36.97257515104801,8.326554968689283,82.14809631552961,81.9307150493903,17.851903684470383,7.5966227760156,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
R,Robert,Aderholt,1996-01-01,1965,M,White,Christian,No,Won,116,no,No,4,AL,1965-07-22,rep,,Robert_Aderholt,76452765.0,400004,1965.0,58.0,0.6462291103059173,Yes,27,Right Centrist,88.5,7.0,2.2,0.4,0.7,1.2,86.9,6.5,4.3,0.5,0.7,1.0,81.5,383,17.2,412,17.9,428,43458,401,45625,424,72.7,no,88.49999999999999,154.6625879101258,24.62661432448431,5.0,0.178468624064479,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.3287039717972873,708017.0,10.914158263246982,30.82903222141859,2.17321331874174,37.76218480076038,10.429454822231229,79.6784295608511,79.50537528542596,20.321570439148893,7.718902298175924,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
R,Mo,Brooks,2010-01-01,1954,M,White,Christian,No,Won,116,no,No,5,AL,1954-04-29,rep,,,,412395,1954.0,69.0,0.7343230108482951,Yes,13,Right Centrist,76.6,17.3,2.4,1.2,0.7,1.8,76.1,16.3,3.9,1.6,0.7,1.4,87.8,268,31.8,171,33.0,226,55043,256,59834,281,51.4,no,76.6,212.3783091989233,69.0098374698421,5.0,0.3078470824949698,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.6624559422934293,761786.0,9.289624760795409,40.62234794908062,2.396206007155337,35.107080455944754,7.297778517347534,85.20975122722356,85.01905316582078,14.790248772776437,5.096264248273567,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
R,Gary,Palmer,2014-01-01,1954,M,White,Christian,No,Won,116,no,No,6,AL,1954-05-14,rep,,USRepGaryPalmer,2861616083.0,412608,1954.0,69.0,0.6451736716501091,Yes,9,Right Centrist,80.7,15.1,1.8,1.0,0.2,1.0,80.8,12.5,4.1,1.6,0.3,0.8,90.4,154,36.1,120,38.0,163,65464,152,69555,185,50.0,no,80.86172344689379,159.3784718136872,24.702905601124023,5.0,0.1971335245523394,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.6795586855581521,753568.0,7.506358146453171,47.64846673253695,1.8512639602780816,34.12639246082561,5.560569147740852,89.44387174557427,89.28121733981573,10.556128254425731,3.1442951464068,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
Democratic,Terri,Sewell,2010-01-01,1965,F,Black,Christian,No,Won,116,no,No,7,AL,1965-01-01,rep,,RepTerriSewell,381152398.0,412396,1965.0,58.0,0.319223779528793,Yes,13,Left Centrist,35.3,62.2,1.2,0.4,0.1,0.7,35.7,60.2,2.6,0.7,0.2,0.6,84.2,352,20.0,389,29.1,287,36447,431,53385,371,25.0,no,35.33533533533533,49.70384615384615,5.267255812185153,4.0,0.2061130289748264,132.69112886465268,14.4665513840348,5.0,0.2173902003743416,0.6836482070354192,636182.0,15.560909315542377,22.33176838810641,2.2996458281854872,38.01828514949345,10.400708343629026,76.10987562803723,75.91096285314225,23.89012437196277,11.189770200148258,10.990101247157728,34.42634580631193,2.132879866019747,36.629536928386045,8.4267882732596,82.41015214662156,82.0459839818557,17.589847853378433,7.030179714099089,0.5786108718255744,5024217.0,AL,254110000000.0,277817000000.0,209979000000.0,213265000000.0,55296.0,42447.0,50577.0,41793.0
R,Don,Young,1973-01-01,1933,M,White,Christian,No,Won,116,Army,Yes,0,AK,1933-06-09,rep,,,,400440,1933.0,90.0,0.6084878844297285,Yes,50,Right Centrist,67.0,3.1,5.6,5.4,13.3,5.5,68.4,3.1,4.7,6.2,13.2,4.5,92.7,53,29.2,220,35.6,192,76715,74,85448,81,43.1,canada_border,67.06706706706707,16.200980392156865,2.0,3.0,0.1683952506446768,16.200980392156865,2.0,3.0,0.1683952506446768,0.6501010029269678,732158.0,6.563555419097329,50.868897758673626,2.4132637396377032,30.97213693583052,5.397988946883635,88.6325606386245,88.40459011360147,11.3674393613755,3.55618667485416,6.563555419097329,50.868897758673626,2.4132637396377032,30.97213693583052,5.397988946883635,88.6325606386245,88.40459011360147,11.3674393613755,3.55618667485416,0.6501010029269678,732158.0,AK,57349000000.0,63618000000.0,50869000000.0,49634000000.0,86891.0,67791.0,78329.0,69478.0
Democratic,Ann,Kirkpatrick,2008-01-01,1950,F,White,Christian,No,Open - Ran for Senate,116,no,No,2,AZ,1950-03-24,rep,,,,412286,1950.0,73.0,0.3507048406397537,Yes,15,Left Centrist,68.3,3.5,22.5,2.6,1.0,2.0,69.2,3.5,21.7,3.0,0.9,1.7,91.0,120,34.0,143,38.9,157,52267,308,56123,333,41.7,mexico_border,68.36836836836837,92.9013188323369,9.35114424440016,7.0,0.1223069086518507,113.9298487382183,8.64901422870446,6.0,0.1413091520564682,0.8951370877021347,770712.0,11.417116741531125,38.01348500568928,1.2318938251713838,39.48517495713448,5.502145626776921,89.16215546938916,88.91577670435488,10.837844530610838,4.103805078662534,8.61917945611276,42.31431691448256,1.7327925086315488,37.2435823638093,5.952685662594089,88.42889977045874,88.17707873440462,11.571100229541264,3.885622058315627,0.8932605185085459,7152940.0,AZ,420027000000.0,458950000000.0,347656000000.0,356417000000.0,64162.0,49828.0,58721.0,48603.0
R,Andy,Biggs,2016-01-01,1958,M,White,Christian,No,Won,116,no,No,5,AZ,1958-11-07,rep,,RepAndyBiggsAZ,8.166526166251684e+17,412683,1958.0,64.0,0.7952289535476538,Yes,7,Right Centrist,76.6,3.0,14.1,3.7,1.0,1.6,76.8,2.8,14.0,4.4,0.8,1.3,93.1,41,35.9,122,37.1,175,74185,88,74840,145,48.2,mexico_border,76.6,190.0937774427953,21.42625485793896,7.0,0.206758944369847,113.9298487382183,8.64901422870446,6.0,0.1413091520564682,0.9921636545794856,901314.0,6.14000819129832,55.408147191329824,1.363536120475095,31.965596547052712,3.3937179042878296,93.65615450048831,93.51375192968084,6.343845499511673,1.5865914747487475,8.61917945611276,42.31431691448256,1.7327925086315488,37.2435823638093,5.952685662594089,88.42889977045874,88.17707873440462,11.571100229541264,3.885622058315627,0.8932605185085459,7152940.0,AZ,420027000000.0,458950000000.0,347656000000.0,356417000000.0,64162.0,49828.0,58721.0,48603.0
