name,name_punch,name_gov,Twitter Handle,St/Dis,Party,progressive_score,state_tilt,rank,score
"Adams, Alma","Adams, Alma","Adams, Alma",RepAdams,NC12,D,96.91,Strong Dem,#372,0.22
"Aderholt, Robert","Aderholt, Robert","Aderholt, Robert",Robert_Aderholt,AL04,R,5.96,Strong Rep,#146,0.65
"Aguilar, Pete","Aguilar, Pete","Aguilar, Pete",RepPeteAguilar,CA31,D,92.43,Strong Dem,#296,0.3
"Allen, Rick","Allen, Rick","Allen, Rick",RepRickAllen,GA12,R,0.64,Strong Rep,#26,0.82
"Allred, Colin","Allred, Colin","Allred, Colin",RepColinAllred,TX32,D,95.0,Leans Dem,#217,0.44
"Amodei, Mark","Amodei, Mark","Amodei, Mark",MarkAmodeiNV2,NV02,R,5.71,Strong Rep,#171,0.59
"Armstrong, Kelly","Armstrong, Kelly","Armstrong, Kelly",RepArmstrongND,ND00,R,5.3,Strong Rep,#128,0.67
"Arrington, Jodey","Arrington , Jodey","Arrington, Jodey",RepArrington,TX19,R,1.52,Strong Rep,#94,0.71
"Auchincloss, Jake","Auchincloss, Jake",,RepAuchincloss,MA04,D,98.16,Strong Dem,,
"Axne, Cynthia","Axne, Cindy","Axne, Cynthia",RepCindyAxne,IA03,D,92.07,Swing,#200,0.51
"Babin, Brian","Babin, Brian","Babin, Brian",RepBrianBabin,TX36,R,1.08,Strong Rep,#14,0.87
"Bacon, Don","Bacon, Don","Bacon, Don",RepDonBacon,NE02,R,9.49,Leans Dem,#44,0.77
"Baird, James","Baird, Jim","Baird, James",RepJimBaird,IN04,R,3.27,Strong Rep,#66,0.74
"Balderson, Troy","Balderson, Troy","Balderson, Troy",RepBalderson,OH12,R,4.16,Leans Rep,#32,0.8
"Banks, Jim","Banks, Jim","Banks, Jim",RepJimBanks,IN03,R,1.34,Strong Rep,#13,0.88
"Barr, Andy","Barr, Andy","Barr, Garland",RepAndyBarr,KY06,R,2.97,Strong Rep,#49,0.77
"Barragán, Nanette","Barragán, Nanette","Barragan, Nanette",RepBarragan,CA44,D,98.05,Strong Dem,#403,0.17
"Bass, Karen","Bass, Karen","Bass, Karen",RepKarenBass,CA37,D,97.45,Strong Dem,#406,0.15
"Beatty, Joyce","Beatty, Joyce","Beatty, Joyce",RepBeatty,OH03,D,95.76,Strong Dem,#345,0.25
"Bentz, Cliff","Bentz, Cliff",,RepBentz,OR02,R,2.58,Strong Rep,,
"Bera, Ami","Bera, Ami","Bera, Ami",RepBera,CA07,D,89.36,Strong Dem,#242,0.38
"Bergman, Jack","Bergman, Jack","Bergman, Jack",RepJackBergman,MI01,R,5.15,Strong Rep,#121,0.67
"Beyer, Donald","Beyer, Don","Beyer, Donald",RepDonBeyer,VA08,D,96.31,Strong Dem,#350,0.25
"Bice, Stephanie","Bice, Stephanie",,RepBice,OK05,R,4.24,Leans Rep,,
"Biggs, Andy","Biggs, Andy","Biggs, Andy",RepAndyBiggsAZ,AZ05,R,5.38,Strong Rep,#33,0.8
"Bilirakis, Gus","Bilirakis, Gus","Bilirakis, Gus",RepGusBilirakis,FL12,R,5.77,Strong Rep,#35,0.79
"Bishop, Dan","Bishop, Dan","Bishop, Dan",RepDanBishop,NC09,R,2.59,Strong Rep,#139,0.66
"Bishop, Sanford","Bishop, Sanford","Bishop, Sanford",SanfordBishop,GA02,D,80.08,Strong Dem,#237,0.39
"Blumenauer, Earl","Blumenauer, Earl","Blumenauer, Earl",repblumenauer,OR03,D,94.31,Strong Dem,#427,0.1
"Blunt Rochester, Lisa","Blunt Rochester, Lisa","Blunt, Lisa",RepLBR,DE00,D,96.38,Strong Dem,#293,0.3
"Boebert, Lauren","Boebert, Lauren",,RepBoebert,CO03,R,5.42,Leans Rep,,
"Bonamici, Suzanne","Bonamici, Suzanne","Bonamici, Suzanne",RepBonamici,OR01,D,97.48,Strong Dem,#389,0.2
"Bost, Mike","Bost, Mike","Bost, Mike",RepBost,IL12,R,7.6,Strong Rep,#69,0.74
"Bourdeaux, Carolyn","Bourdeaux, Carolyn",,RepBourdeaux,GA07,D,93.92,Leans Dem,,
"Bowman, Jamaal","Bowman, Jamaal",,RepBowman,NY16,D,98.15,Strong Dem,,
"Boyle, Brendan","Boyle, Brendan","Boyle, Brendan",CongBoyle,PA02,D,95.44,Strong Dem,#294,0.3
"Brady, Kevin","Brady, Kevin","Brady, Kevin",RepKevinBrady,TX08,R,2.79,Strong Rep,#172,0.59
